id,Capacity,Country Code,K,BC,phi,rho_C,rho_CM
101,5016,HND,7,3.59E-05,0.0538,1.0031,0.000179449
102,29006,GLP,35,0.000720356,0.207,1.0857,0.026020696
103,911,HND,1,0,0.0398,1,-2.84E-16
104,15328,BLZ,6,0,0.0501,1.0022,0.00011865
105,6655,ATG,34,4.96E-05,0.201,1.0817,0.024160347
106,7330,KNA,36,9.00E-05,0.2169,1.0922,0.029232937
107,3730,NLD,28,3.42E-06,0.1513,1.0469,0.010681018
108,4415,BLZ,7,0,0.0538,1.0031,0.000179449
109,528055,MEX,35,0.000955413,0.207,1.0857,0.026020696
110,5508,BLM,32,4.65E-05,0.1823,1.0665,0.018262882
111,444635,JAM,108,0.007123675,0.7801,1.2223,0.294862589
112,21592,SXM,50,0.002543163,0.3281,1.1704,0.075614916
113,1946,VGB,13,0,0.0791,1.0151,0.001439895
114,1784,VGB,27,0,0.146,1.0449,0.009737163
